"sample"	"strain"	"median"
"T12_AB16_I0_REP2"	"2659"	0
"T12_AB16_I0_REP2"	"1279"	0
"T12_AB16_I0_REP2"	"1992"	2
"T12_AB16_I0_REP2"	"1966"	0
"T12_AB16_I0_REP2"	"97"	0
"T12_AB16_I0_REP2"	"2164"	0
"T12_AB16_I0_REP2"	"1896"	41
"T12_AB16_I0_REP2"	"105"	20
"T12_AB16_I0_REP2"	"1874"	13
"T12_AB16_I0_REP2"	"1923"	8
"T12_AB16_I0_REP2"	"1287"	346
"T12_AB16_I0_REP2"	"3031"	12
"T12_AB16_I0_REP2"	"216"	0
"T12_AB16_I0_REP2"	"1299"	0
"T12_AB16_I0_REP2"	"1977"	508
"T12_AB16_I0_REP2"	"2160"	16
"T12_AB16_I0_REP2"	"3237"	0
"T12_AB16_I0_REP2"	"403"	14
"T12_AB16_I0_REP2"	"2467"	0
"T12_AB16_I0_REP2"	"262"	0
"T12_AB16_I0_REP2"	"1875"	520
"T12_AB16_I0_REP2"	"1842"	0
"T12_AB16_I0_REP2"	"2948"	0
"T12_AB16_I0_REP3"	"RP4"	0
"T12_AB16_I0_REP3"	"1972"	439
"T12_AB16_I0_REP3"	"6"	0
"T12_AB16_I0_REP3"	"K12"	0
"T12_AB16_I0_REP3"	"2494"	0
"T12_AB16_I0_REP3"	"2159"	0
"T12_AB16_I0_REP3"	"2792"	0
"T12_AB16_I0_REP3"	"2443"	0
"T12_AB16_I0_REP3"	"1292"	0
"T12_AB16_I0_REP3"	"3172"	9
"T12_AB16_I0_REP3"	"1988"	0
"T12_AB16_I0_REP3"	"2659"	2
"T12_AB16_I0_REP3"	"1279"	0
"T12_AB16_I0_REP3"	"1992"	3
"T12_AB16_I0_REP3"	"1966"	0
"T12_AB16_I0_REP3"	"97"	0
"T12_AB16_I0_REP3"	"2164"	0
"T12_AB16_I0_REP3"	"1896"	76
"T12_AB16_I0_REP3"	"105"	30
"T12_AB16_I0_REP3"	"1874"	20
"T12_AB16_I0_REP3"	"1923"	16
"T12_AB16_I0_REP3"	"1287"	580
"T12_AB16_I0_REP3"	"3031"	27
"T12_AB16_I0_REP3"	"216"	3
"T12_AB16_I0_REP3"	"1299"	0
"T12_AB16_I0_REP3"	"1977"	741
"T12_AB16_I0_REP3"	"2160"	26
"T12_AB16_I0_REP3"	"3237"	0
"T12_AB16_I0_REP3"	"403"	30
"T12_AB16_I0_REP3"	"2467"	0
"T12_AB16_I0_REP3"	"262"	0
